epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,720.491,1.02834,1.2299,1.44696,0.64044,0.5,0.41867,0.24868,2.06307,2.87871,3.29888,0.000973861,0.000973861,0.000973861
44,736.891,0.94557,1.18602,1.45771,0.78993,0.375,0.37374,0.22852,2.05192,2.91217,3.35895,0.000957358,0.000957358,0.000957358
45,753.513,0.9795,1.15425,1.39899,0.75644,0.375,0.37621,0.22293,1.97227,3.15485,3.18056,0.000940855,0.000940855,0.000940855
46,770.013,0.90907,1.19021,1.39002,0.68748,0.375,0.31409,0.18375,1.91128,3.36429,3.02549,0.000924352,0.000924352,0.000924352
47,786.322,0.87712,1.10264,1.40774,0.7781,0.375,0.34053,0.205,2.09955,3.11581,3.14923,0.000907848,0.000907848,0.000907848
48,802.654,0.9205,1.14015,1.38052,0.68754,0.48376,0.46559,0.22513,2.17959,2.56985,3.00642,0.000891345,0.000891345,0.000891345
49,819.02,0.92409,1.15493,1.42234,0.74865,0.72876,0.64174,0.31152,2.09003,2.22159,2.70299,0.000874842,0.000874842,0.000874842
50,835.367,0.96433,1.15222,1.42576,0.59114,0.75,0.59716,0.30017,2.02892,2.08458,2.61163,0.000858338,0.000858338,0.000858338
51,851.7,0.91959,1.17817,1.43036,0.96942,0.72759,0.86062,0.37579,1.97389,2.07612,2.76613,0.000841835,0.000841835,0.000841835
52,868.347,0.84782,1.00342,1.3705,0.93261,0.7364,0.865,0.34654,1.87655,1.64761,2.60291,0.000825332,0.000825332,0.000825332
53,885.385,0.86818,1.00668,1.29427,0.99652,0.86457,0.89083,0.42795,1.82485,1.63705,2.46613,0.000808828,0.000808828,0.000808828
54,902.304,0.7775,0.92272,1.30444,0.94574,0.8558,0.89778,0.44764,1.92938,1.54814,2.54596,0.000792325,0.000792325,0.000792325
55,920.423,0.88552,1.03504,1.33496,0.6826,0.75,0.6572,0.36814,1.97677,1.59364,2.82288,0.000775822,0.000775822,0.000775822
56,939.192,0.89909,1.13882,1.4196,0.79768,0.625,0.65212,0.3195,2.10901,1.57703,3.20808,0.000759318,0.000759318,0.000759318
57,957.326,0.82846,1.02988,1.3021,0.68808,0.61904,0.62999,0.31876,2.04384,1.79439,3.30144,0.000742815,0.000742815,0.000742815
58,975.168,0.76608,1.04722,1.28897,0.71801,0.5,0.42325,0.21135,2.17327,2.31142,3.36446,0.000726312,0.000726312,0.000726312
59,992.997,0.80773,0.94245,1.30404,0.72785,0.5,0.48474,0.2403,2.20519,2.13095,3.26876,0.000709809,0.000709809,0.000709809
60,1010.98,0.81153,1.02204,1.26912,0.75818,0.49276,0.53566,0.27266,2.19026,2.15672,3.3571,0.000693305,0.000693305,0.000693305
61,1029.26,0.81739,1.01509,1.3127,0.72692,0.61798,0.59038,0.31288,2.18451,2.0215,3.46229,0.000676802,0.000676802,0.000676802
62,1046.94,0.82258,1.02909,1.32621,0.72541,0.75,0.71644,0.39492,2.2064,1.65596,3.51954,0.000660299,0.000660299,0.000660299
63,1064.86,0.76982,0.99564,1.27842,0.72309,0.75,0.72055,0.40186,2.20486,1.59726,3.51693,0.000643795,0.000643795,0.000643795
